"election","election_date","locality","precinct","district","district_type","provisional_ballots","absentee_ballots","in_person_ballots","in_person_curbside_ballots","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","601 - CROZET","05","Congressional","4","0","2125","6","2129","3217","149","3366"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","602 - FREE UNION","05","Congressional","3","0","918","1","921","1344","76","1420"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","603 - EARLYSVILLE","05","Congressional","1","0","2141","4","2142","3074","124","3198"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","604 - BROWNSVILLE","05","Congressional","3","0","1721","7","1724","2554","97","2651"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","606 - MECHUMS RIVER","05","Congressional","9","0","2195","3","2204","3106","141","3247"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","##Central Absentee","00","Local","0","10782","11","0","10793","0","0","0"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","##Central Absentee","08","Congressional","9","10782","11","0","10802","0","0","0"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","101 - LADREY SENIOR BUILDING","08","Congressional","20","0","1515","2","1535","2657","245","2902"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","102 - CITY HALL","08","Congressional","3","0","1469","2","1472","2615","220","2835"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","103 - LYLES CROUCH SCHOOL","08","Congressional","21","0","2275","7","2296","3769","486","4255"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","104 - DURANT CENTER","08","Congressional","7","0","1766","4","1773","2970","435","3405"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","105 - LEE CENTER","08","Congressional","14","0","2647","14","2661","","",""
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","106 - CORA KELLY","08","Congressional","27","0","2484","6","2511","4226","698","4924"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","107 - MT VERNON RECREATION CENTER","08","Congressional","11","0","2722","3","2733","4149","460","4609"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","108 - GEORGE WASHINGTON MIDDLE SCH","08","Congressional","12","0","2706","10","2718","4088","432","4520"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","109 - FIRE DEPARTMENT HEADQUARTERS","08","Congressional","8","0","1616","4","1624","2559","248","2807"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","110 - CHARLES HOUSTON CENTER","08","Congressional","12","0","1908","0","1920","3220","523","3743"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","111 - POTOMAC YARD","08","Congressional","13","0","991","0","1004","1624","231","1855"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","201 - MAURY SCHOOL","08","Congressional","6","0","1809","1","1815","2713","234","2947"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","202 - GEORGE MASON SCHOOL","08","Congressional","5","0","1847","1","1852","2752","129","2881"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","203 - AGUDAS ACHIM SYNAGOGUE","08","Congressional","7","0","1873","1","1880","2819","316","3135"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","204 - BLESSED SACRAMENT CHURCH","08","Congressional","2","0","1789","3","1791","2625","159","2784"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","205 - DOUGLAS MACARTHUR SCHOOL","08","Congressional","11","0","2248","0","2259","3654","434","4088"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","206 - CHINQUAPIN PARK RECREATION CTR","08","Congressional","9","0","1638","2","1647","2817","388","3205"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","207 - TEMPLE BETH EL SYNAGOGUE","08","Congressional","5","0","2202","5","2207","3813","324","4137"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","208 - NOVA ARTS CENTER","08","Congressional","22","0","2280","2","2302","4086","747","4833"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","209 - JAMES K POLK SCHOOL","08","Congressional","14","0","2258","7","2272","3892","543","4435"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","210 - The Hermitage","08","Congressional","10","0","1132","0","1142","2159","237","2396"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","302 - PATRICK HENRY REC CENTER","08","Congressional","10","0","1630","3","1640","3138","507","3645"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","303 - CHARLES E BEATLEY LIBRARY","08","Congressional","20","0","1875","9","1895","","",""
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","304 - SAMUEL TUCKER SCHOOL","08","Congressional","24","0","2703","4","2727","","",""
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","305 - JOHN ADAMS SCHOOL","08","Congressional","14","0","1939","10","1953","3833","822","4655"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","306 - WILLIAM RAMSAY SCHOOL","08","Congressional","37","0","2015","7","2052","3955","535","4490"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","307 - SOUTH PORT","08","Congressional","12","0","1785","3","1797","3293","388","3681"
"2018 November General","2018-11-06 00:00:00","ALEXANDRIA CITY","308 - CAMERON STATION COMMUNITY CTR","08","Congressional","14","0","2184","5","2198","","",""
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","##Central Absentee","00","Local","0","294","0","4","294","0","0","0"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","##Central Absentee","09","Congressional","0","294","0","4","294","0","0","0"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","101 - ARRITT","09","Congressional","0","0","486","1","486","1027","38","1065"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","103 - DAMERON","09","Congressional","0","0","180","2","180","345","23","368"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","201 - HUMPBACK BRIDGE","09","Congressional","0","0","316","0","316","565","38","603"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","202 - DOLLY ANN","09","Congressional","0","0","396","1","396","766","31","797"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","301 - CALLAGHAN","09","Congressional","0","0","280","1","280","562","31","593"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","302 - GRIFFITH","09","Congressional","0","0","521","0","521","979","43","1022"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","401 - LOW MOOR","09","Congressional","0","0","370","0","370","766","20","786"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","402 - JACKSON HEIGHTS","09","Congressional","0","0","480","0","480","887","35","922"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","501 - IRON GATE","09","Congressional","0","0","229","1","229","396","17","413"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","502 - PETERS SWITCH","09","Congressional","0","0","603","0","603","1094","24","1118"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","601 - DISTRICT 1","09","Congressional","0","0","778","2","778","1407","58","1465"
"2018 November General","2018-11-06 00:00:00","ALLEGHANY COUNTY","701 - DISTRICT 2","09","Congressional","0","0","557","4","557","1185","63","1248"
"2018 November General","2018-11-06 00:00:00","AMELIA COUNTY","##Central Absentee","00","Local","0","480","0","2","480","0","0","0"
"2018 November General","2018-11-06 00:00:00","AMELIA COUNTY","##Central Absentee","07","Congressional","0","480","0","2","480","0","0","0"
"2018 November General","2018-11-06 00:00:00","AMELIA COUNTY","101 - NUMBER ONE","07","Congressional","0","0","915","8","915","1605","65","1670"
"2018 November General","2018-11-06 00:00:00","AMELIA COUNTY","201 - NUMBER TWO","07","Congressional","2","0","1150","3","1152","1799","58","1857"
"2018 November General","2018-11-06 00:00:00","AMELIA COUNTY","301 - NUMBER THREE","07","Congressional","2","0","1070","2","1072","1839","79","1918"
"2018 November General","2018-11-06 00:00:00","AMELIA COUNTY","401 - NUMBER FOUR","07","Congressional","5","0","1027","3","1032","1761","64","1825"
"2018 November General","2018-11-06 00:00:00","AMELIA COUNTY","501 - NUMBER FIVE","07","Congressional","0","0","1239","0","1239","1999","76","2075"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","##Central Absentee","00","Local","0","759","0","0","759","0","0","0"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","##Central Absentee","06","Congressional","1","759","0","0","760","0","0","0"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","101 - WRIGHT SHOP","06","Congressional","0","0","801","0","801","1501","71","1572"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","102 - NEW GLASGOW","06","Congressional","0","0","1070","0","1070","1859","91","1950"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","103 - COOLWELL","06","Congressional","4","0","536","0","540","910","44","954"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","201 - COURT HOUSE","06","Congressional","1","0","1691","0","1692","2820","169","2989"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","202 - TEMPERANCE","06","Congressional","0","0","646","0","646","1101","42","1143"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","301 - MONROE","06","Congressional","0","0","707","0","707","1150","60","1210"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","302 - ELON","06","Congressional","0","0","1727","0","1727","2667","88","2755"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","303 - PLEASANT VIEW","06","Congressional","0","0","407","0","407","650","22","672"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","401 - AMELON","06","Congressional","0","0","1839","0","1839","3164","170","3334"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","402 - LONCO","06","Congressional","0","0","451","0","451","913","44","957"
"2018 November General","2018-11-06 00:00:00","AMHERST COUNTY","501 - MADISON","06","Congressional","1","0","1938","0","1939","3463","183","3646"
"2018 November General","2018-11-06 00:00:00","APPOMATTOX COUNTY","##Central Absentee","00","Local","0","368","0","5","368","0","0","0"
"2018 November General","2018-11-06 00:00:00","APPOMATTOX COUNTY","##Central Absentee","05","Congressional","0","368","0","5","368","0","0","0"
"2018 November General","2018-11-06 00:00:00","APPOMATTOX COUNTY","101 - VERA","05","Congressional","1","0","473","1","474","775","28","803"
"2018 November General","2018-11-06 00:00:00","APPOMATTOX COUNTY","102 - PAMPLIN","05","Congressional","0","0","834","1","834","1393","44","1437"
"2018 November General","2018-11-06 00:00:00","APPOMATTOX COUNTY","201 - CHAP","05","Congressional","0","0","323","0","323","552","39","591"
"2018 November General","2018-11-06 00:00:00","APPOMATTOX COUNTY","202 - SPOUT SPRING","05","Congressional","0","0","1034","4","1034","1648","59","1707"
"2018 November General","2018-11-06 00:00:00","APPOMATTOX COUNTY","301 - US  460","05","Congressional","0","0","643","1","643","951","35","986"
"2018 November General","2018-11-06 00:00:00","APPOMATTOX COUNTY","302 - STONEWALL","05","Congressional","0","0","769","3","769","1225","47","1272"
"2018 November General","2018-11-06 00:00:00","APPOMATTOX COUNTY","401 - COURTHOUSE","05","Congressional","0","0","1085","5","1085","1956","101","2057"
"2018 November General","2018-11-06 00:00:00","APPOMATTOX COUNTY","501 - OAKVILLE","05","Congressional","0","0","836","2","836","1441","48","1489"
"2018 November General","2018-11-06 00:00:00","APPOMATTOX COUNTY","502 - AGEE","05","Congressional","0","0","343","0","343","573","25","598"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","##Central Absentee","00","Local","0","20751","0","44","20751","0","0","0"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","##Central Absentee","08","Congressional","2","20751","0","44","20753","0","0","0"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","001 - ARLINGTON","08","Congressional","6","0","1590","1","1596","2753","282","3035"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","002 - ASHTON HEIGHTS","08","Congressional","5","0","1821","0","1826","3205","350","3555"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","003 - AURORA HILLS","08","Congressional","0","0","1109","2","1109","1822","149","1971"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","004 - BALLSTON","08","Congressional","9","0","1806","0","1815","3145","356","3501"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","005 - BARCROFT","08","Congressional","0","0","1472","2","1472","2424","190","2614"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","006 - CRYSTAL CITY","08","Congressional","8","0","1415","3","1423","2413","658","3070"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","007 - CHERRYDALE","08","Congressional","3","0","1740","0","1743","2964","225","3189"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","008 - HUME","08","Congressional","18","0","2051","3","2069","3705","670","4375"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","009 - COLUMBIA","08","Congressional","9","0","2374","2","2383","3852","470","4322"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","010 - WILSON","08","Congressional","14","0","2101","7","2115","4197","869","5065"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","011 - EAST FALLS CHURCH","08","Congressional","1","0","1276","2","1277","2067","142","2209"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","012 - FAIRLINGTON","08","Congressional","6","0","1816","2","1822","2626","232","2858"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","013 - GLEN CARLYN","08","Congressional","7","0","1197","2","1204","2095","129","2224"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","014 - CLARENDON","08","Congressional","6","0","1364","2","1370","2379","358","2737"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","015 - LYON PARK","08","Congressional","2","0","953","2","955","1736","223","1959"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","016 - LYON VILLAGE","08","Congressional","10","0","1731","0","1741","3151","417","3568"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","017 - OVERLEE KNOLLS","08","Congressional","9","0","1858","6","1867","3121","263","3384"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","018 - PARK LANE","08","Congressional","17","0","2525","0","2542","5412","1011","6423"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","019 - ROSSLYN","08","Congressional","23","0","1932","1","1955","3879","935","4813"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","020 - THRIFTON","08","Congressional","5","0","1627","1","1632","2857","146","3003"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","021 - VIRGINIA HIGHLANDS","08","Congressional","0","0","926","5","926","1709","229","1938"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","022 - ABINGDON","08","Congressional","0","0","1947","3","1947","2942","327","3269"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","023 - WESTOVER","08","Congressional","0","0","1670","4","1670","2707","196","2903"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","024 - WOODLAWN","08","Congressional","10","0","2161","5","2171","3860","343","4203"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","025 - ARLINGTON FOREST","08","Congressional","2","0","1731","1","1733","2726","253","2979"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","026 - FILLMORE","08","Congressional","7","0","2203","5","2210","3743","570","4312"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","027 - JEFFERSON","08","Congressional","2","0","1825","2","1827","2857","252","3109"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","028 - WAKEFIELD","08","Congressional","4","0","1963","9","1967","3479","516","3995"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","029 - DOMINION HILLS","08","Congressional","2","0","1741","7","1743","2735","161","2896"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","030 - GLEBE","08","Congressional","0","0","1737","17","1737","3101","382","3483"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","031 - LEXINGTON","08","Congressional","4","0","1843","8","1847","2855","165","3020"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","032 - OAKRIDGE","08","Congressional","0","0","785","0","785","1340","199","1539"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","033 - ROCK SPRING","08","Congressional","0","0","1811","10","1811","2969","141","3110"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","034 - YORKTOWN","08","Congressional","0","0","1597","4","1597","2618","126","2744"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","035 - MADISON","08","Congressional","4","0","1970","4","1974","3176","160","3336"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","036 - MARSHALL","08","Congressional","5","0","1892","0","1897","3248","268","3516"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","037 - NOTTINGHAM","08","Congressional","4","0","1637","0","1641","2505","142","2647"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","038 - ARLINGTON VIEW","08","Congressional","7","0","1582","2","1589","2945","471","3416"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","039 - ASHLAWN","08","Congressional","3","0","1001","6","1004","1684","112","1796"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","040 - VIRGINIA SQUARE","08","Congressional","6","0","2169","2","2175","3920","566","4486"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","041 - NAVY LEAGUE","08","Congressional","6","0","1651","0","1657","3310","696","4006"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","042 - SHIRLINGTON","08","Congressional","5","0","1432","1","1437","2485","431","2916"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","043 - CAMPBELL","08","Congressional","7","0","1315","4","1322","2513","260","2773"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","044 - DAWSON TERRACE","08","Congressional","12","0","1333","1","1345","2453","453","2906"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","045 - BUCKINGHAM","08","Congressional","7","0","1355","14","1362","2521","309","2830"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","046 - CENTRAL","08","Congressional","16","0","2036","0","2052","3687","663","4350"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","047 - FOUR MILE RUN","08","Congressional","7","0","1358","2","1365","2341","283","2623"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","048 - AUSA","08","Congressional","4","0","1353","3","1357","2502","585","3087"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","049 - MONROE","08","Congressional","3","0","1024","3","1027","1886","302","2188"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","050 - CRYSTAL PLAZA","08","Congressional","9","0","1522","0","1531","2905","622","3527"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","051 - TAYLOR","08","Congressional","3","0","513","0","516","771","92","863"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","052 - GUNSTON","08","Congressional","10","0","1345","0","1355","2382","420","2802"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","053 - MET PARK","08","Congressional","5","0","1635","1","1640","2698","602","3300"
"2018 November General","2018-11-06 00:00:00","ARLINGTON COUNTY","054 - GARFIELD PARK","08","Congressional","5","0","861","0","866","1477","360","1837"
"2018 November General","2018-11-06 00:00:00","AUGUSTA COUNTY","##Central Absentee","00","Local","0","1670","0","0","1670","0","0","0"
"2018 November General","2018-11-06 00:00:00","AUGUSTA COUNTY","##Central Absentee","06","Congressional","5","1670","0","0","1675","0","0","0"
"2018 November General","2018-11-06 00:00:00","AUGUSTA COUNTY","101 - JOLIVUE","06","Congressional","0","0","815","2","815","1315","62","1377"
"2018 November General","2018-11-06 00:00:00","AUGUSTA COUNTY","102 - STUARTS DRAFT ELEMENTARY","06","Congressional","0","0","899","1","899","1680","93","1773"
"2018 November General","2018-11-06 00:00:00","AUGUSTA COUNTY","103 - VERONA","06","Congressional","2","0","1458","0","1460","2613","116","2729"
"2018 November General","2018-11-06 00:00:00","AUGUSTA COUNTY","201 - CRIMORA","06","Congressional","2","0","1486","7","1488","2820","156","2976"
"2018 November General","2018-11-06 00:00:00","AUGUSTA COUNTY","202 - NEW HOPE","06","Congressional","1","0","970","5","971","1477","46","1523"
"2018 November General","2018-11-06 00:00:00","AUGUSTA COUNTY","203 - WEYERS CAVE","06","Congressional","3","0","1496","2","1499","2396","73","2469"
"2018 November General","2018-11-06 00:00:00","AUGUSTA COUNTY","301 - FORT DEFIANCE","06","Congressional","2","0","2279","9","2281","3729","110","3839"
"2018 November General","2018-11-06 00:00:00","AUGUSTA COUNTY","302 - NORTH RIVER","06","Congressional","0","0","605","0","605","937","26","963"
