"election","election_date","locality","precinct","district","district_type","provisional_ballots","absentee_ballots","in_person_ballots","in_person_curbside_ballots","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","##Central Absentee","00","Local","0","1176","0","0","1176","0","0","0"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","##Central Absentee","02","Congressional","0","1176","0","0","1176","0","0","0"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","101 - CHINCOTEAGUE","02","Congressional","2","0","1445","0","1447","2459","163","2622"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","201 - ATLANTIC","02","Congressional","0","0","606","0","606","1073","57","1130"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","202 - GREENBACKVILLE","02","Congressional","0","0","828","0","828","1580","135","1715"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","301 - NEW CHURCH","02","Congressional","0","0","983","0","983","2353","252","2605"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","401 - BLOXOM","02","Congressional","0","0","375","0","375","771","47","818"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","402 - PARKSLEY","02","Congressional","0","0","611","0","611","1105","61","1166"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","403 - SAXIS","02","Congressional","1","0","159","0","160","315","21","336"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","501 - MAPPSVILLE","02","Congressional","0","0","494","0","494","1082","58","1140"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","502 - RUE","02","Congressional","0","0","420","0","420","999","70","1069"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","601 - ACCOMAC","02","Congressional","1","0","952","0","953","1844","140","1984"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","602 - TANGIER","02","Congressional","0","0","206","0","206","361","4","365"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","701 - NANDUA","02","Congressional","0","0","1558","0","1558","2680","172","2852"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","801 - BOBTOWN","02","Congressional","0","0","532","0","532","889","34","923"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","802 - MELFA","02","Congressional","1","0","684","0","685","1277","80","1357"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","803 - WACHAPREAGUE","02","Congressional","0","0","457","0","457","746","37","783"
"2018 November General","2018-11-06 00:00:00","ACCOMACK COUNTY","901 - PAINTER","02","Congressional","3","0","1385","0","1388","2636","146","2782"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","##Central Absentee","00","Local","0","5542","4","11","5546","0","0","0"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","##Central Absentee","05","Congressional","2","5542","4","11","5548","0","0","0"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","101 - WOODBROOK","05","Congressional","6","0","1926","9","1932","2894","184","3078"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","103 - BRANCHLANDS","05","Congressional","3","0","731","0","734","1259","125","1384"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","104 - AGNOR-HURT","05","Congressional","6","0","1498","7","1504","2331","191","2522"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","105 - DUNLORA","05","Congressional","4","0","2191","27","2195","3099","195","3294"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","106 - NORTHSIDE","05","Congressional","3","0","2235","0","2238","3436","185","3621"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","201 - JACK JOUETT","05","Congressional","5","0","2274","12","2279","3555","219","3774"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","202 - UNIVERSITY","05","Congressional","18","0","2333","1","2351","4618","540","5158"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","203 - GEORGETOWN","05","Congressional","4","0","1711","3","1715","2925","364","3289"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","301 - IVY","05","Congressional","5","0","2658","1","2663","3809","164","3973"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","302 - RED HILL","05","Congressional","4","0","1885","4","1889","2883","102","2985"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","304 - EAST IVY","05","Congressional","1","0","656","4","657","1019","49","1068"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","305 - COUNTRY GREEN","05","Congressional","3","0","1680","8","1683","2512","131","2643"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","306 - PORTERS","05","Congressional","0","0","969","15","969","1524","65","1589"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","307 - YELLOW MOUNTAIN","05","Congressional","1","0","455","2","456","675","44","719"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","401 - SCOTTSVILLE","05","Congressional","3","0","977","4","980","1592","81","1673"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","402 - MONTICELLO","05","Congressional","1","0","924","0","925","1453","73","1526"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","405 - CALE","05","Congressional","1","0","2018","0","2019","2802","216","3018"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","406 - STONE ROBINSON","05","Congressional","4","0","2000","1","2004","2939","115","3054"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","407 - BISCUIT RUN","05","Congressional","5","0","1244","2","1249","2189","267","2456"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","501 - KESWICK","05","Congressional","0","0","948","0","948","1420","68","1488"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","502 - STONY POINT","05","Congressional","2","0","1032","11","1034","1528","71","1599"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","503 - HOLLYMEAD","05","Congressional","4","0","1562","1","1566","2334","154","2488"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","504 - FREE BRIDGE","05","Congressional","4","0","1491","11","1495","2506","169","2675"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","506 - BAKER-BUTLER","05","Congressional","3","0","2140","1","2143","3114","151","3265"
"2018 November General","2018-11-06 00:00:00","ALBEMARLE COUNTY","507 - PANTOPS","05","Congressional","1","0","1376","0","1377","1933","73","2006"
