"election","election_date","locality","precinct","district","district_type","provisional_ballots","absentee_ballots","in_person_ballots","in_person_curbside_ballots","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","##Central Absentee","00","Local","0","1499","0","0","1499","0","0","0"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","##Central Absentee","02","Congressional","0","1499","0","0","1499","0","0","0"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","101 - CHINCOTEAGUE","02","Congressional","4","0","1690","0","1694","2423","235","2658"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","201 - ATLANTIC","02","Congressional","0","0","753","0","753","1115","102","1217"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","202 - GREENBACKVILLE","02","Congressional","1","0","1039","0","1040","1526","241","1767"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","301 - NEW CHURCH","02","Congressional","2","0","1343","0","1345","2347","375","2722"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","401 - BLOXOM","02","Congressional","0","0","500","0","500","735","91","826"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","402 - PARKSLEY","02","Congressional","0","0","738","0","738","1094","137","1231"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","403 - SAXIS","02","Congressional","1","0","204","0","205","316","47","363"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","501 - MAPPSVILLE","02","Congressional","0","0","664","0","664","1093","134","1227"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","502 - RUE","02","Congressional","1","0","528","0","529","994","132","1126"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","601 - ACCOMAC","02","Congressional","0","0","1166","0","1166","1793","230","2023"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","602 - TANGIER","02","Congressional","0","0","255","0","255","364","32","396"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","701 - NANDUA","02","Congressional","1","0","1872","0","1873","2755","208","2963"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","801 - BOBTOWN","02","Congressional","1","0","602","0","603","874","65","939"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","802 - MELFA","02","Congressional","0","0","856","0","856","1279","105","1384"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","803 - WACHAPREAGUE","02","Congressional","0","0","505","0","505","729","62","791"
"2016 November General","2016-11-08 00:00:00","ACCOMACK COUNTY","901 - PAINTER","02","Congressional","6","0","1710","0","1716","2644","233","2877"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","##Central Absentee","00","Local","0","7032","0","0","7032","0","0","0"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","##Central Absentee","05","Congressional","10","7032","0","0","7042","0","0","0"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","101 - WOODBROOK","05","Congressional","5","0","2021","7","2026","2821","256","3077"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","103 - BRANCHLANDS","05","Congressional","12","0","804","1","816","1204","200","1404"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","104 - AGNOR-HURT","05","Congressional","10","0","1636","0","1646","2277","325","2602"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","105 - DUNLORA","05","Congressional","4","0","2123","26","2127","2879","245","3124"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","106 - NORTHSIDE","05","Congressional","5","0","2258","2","2263","3131","230","3361"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","201 - JACK JOUETT","05","Congressional","3","0","1543","0","1546","2192","254","2446"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","202 - UNIVERSITY HALL","05","Congressional","14","0","2501","1","2515","3972","1118","5090"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","203 - GEORGETOWN","05","Congressional","7","0","1899","0","1906","2806","551","3357"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","204 - BELFIELD","05","Congressional","3","0","796","14","799","1243","69","1312"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","301 - IVY","05","Congressional","8","0","2685","0","2693","3773","240","4013"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","302 - RED HILL","05","Congressional","3","0","1962","7","1965","2786","174","2960"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","304 - EAST IVY","05","Congressional","2","0","701","4","703","1018","53","1071"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","305 - COUNTRY GREEN","05","Congressional","3","0","1653","11","1656","2257","199","2456"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","306 - PORTERS","05","Congressional","2","0","1048","17","1050","1471","95","1566"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","307 - YELLOW MOUNTAIN","05","Congressional","1","0","510","0","511","685","48","733"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","401 - SCOTTSVILLE","05","Congressional","3","0","1125","0","1128","1532","111","1643"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","402 - MONTICELLO","05","Congressional","4","0","1051","4","1055","1449","94","1543"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","405 - CALE","05","Congressional","7","0","3304","5","3311","4650","845","5495"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","406 - STONE ROBINSON","05","Congressional","1","0","2069","1","2070","2888","156","3044"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","501 - KESWICK","05","Congressional","0","0","989","0","989","1372","101","1473"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","502 - STONY POINT","05","Congressional","6","0","1142","3","1148","1525","84","1609"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","503 - HOLLYMEAD","05","Congressional","5","0","1782","2","1787","2420","277","2697"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","504 - FREE BRIDGE","05","Congressional","5","0","2682","10","2687","3970","418","4388"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","506 - BAKER-BUTLER","05","Congressional","13","0","2259","0","2272","2992","224","3216"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","601 - CROZET","05","Congressional","8","0","2881","7","2889","3952","301","4253"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","602 - FREE UNION","05","Congressional","1","0","988","5","989","1346","67","1413"
"2016 November General","2016-11-08 00:00:00","ALBEMARLE COUNTY","603 - EARLYSVILLE","05","Congressional","4","0","2277","12","2281","3040","178","3218"
